Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,20.7425,21.30,20.7425,21.0275,227800,21.0275
2017-01-02,21.4975,21.75,20.25,20.93,121800,20.93
2016-12-01,20.6675,21.9075,20.3675,21.16,151700,21.16
2016-11-01,19.3325,20.8775,18.6925,20.825,255300,20.825
2016-10-03,18.9875,19.73,18.9875,19.35,136200,19.35
2016-09-01,19.4875,19.53,18.55,19.2025,146600,19.2025
2016-08-01,19.4575,19.70,19.0875,19.405,129400,19.405
2016-07-01,18.77,19.7475,18.41,19.3675,142000,19.3675
2016-06-01,18.80,19.10,18.04,18.6575,173700,18.6575
2016-05-02,17.9825,18.90,17.70,18.795,209600,18.795
2016-04-04,18.10,18.59,17.745,17.8675,242200,17.8675
2016-03-02,18.205,18.4425,17.59,18.05,240800,18.05
2016-02-01,17.73,17.93,15.8025,17.93,193700,17.93
2016-01-04,18.53,18.745,16.68,17.6075,321500,17.6075
2015-12-01,19.73,19.97,17.90,18.9125,229800,18.9125
2015-11-02,19.18,19.90,18.50,19.73,211100,19.73
2015-10-01,17.15,19.07,16.69,18.895,190200,18.895
2015-09-01,17.17,17.78,16.565,17.0625,280200,17.0625
2015-08-03,18.6025,19.40,16.00,17.5725,409300,17.5725
2015-07-02,18.695,19.625,18.08,19.065,238500,19.065
2015-06-01,19.255,19.30,18.00,18.4925,270200,18.4925
2015-05-04,18.70,19.5025,17.81,19.13,430200,19.13
2015-04-02,18.9425,19.855,18.60,18.73,585800,18.73
2015-03-02,18.745,19.94,18.43,19.31,809600,19.31
2015-02-02,17.64,18.99,17.3925,18.7325,479400,18.7325
2015-01-02,16.85,18.4775,16.78,17.67,654100,17.67
2014-12-01,16.4875,17.19,15.565,17.075,525200,17.075
2014-11-03,16.1025,16.70,15.8925,16.60,529200,16.60
2014-10-02,15.405,16.105,14.235,16.02,663500,16.02
2014-09-01,15.1975,15.8525,14.7825,15.6675,380200,15.6675
2014-08-04,14.3825,15.20,14.025,15.145,319900,15.145
2014-07-02,14.375,14.8275,14.0525,14.505,383700,14.505
2014-06-02,14.055,14.45,13.885,14.2925,448900,14.2925
2014-05-02,13.495,14.0925,13.3025,14.025,325500,14.025
2014-04-01,13.545,13.82,13.07,13.495,535600,13.495
2014-03-03,13.36,13.70,13.19,13.50,560000,13.50
2014-02-03,13.1925,13.50,12.80,13.44,937800,13.44
2014-01-02,13.2725,13.7075,12.77,13.185,660100,13.185
2013-12-02,13.2975,13.50,12.7725,13.285,484500,13.285
2013-11-01,12.9475,13.50,12.86,13.26,392600,13.26
2013-10-01,12.31,12.9375,12.145,12.935,697100,12.935
2013-09-02,12.315,12.7475,12.045,12.375,335100,12.375
2013-08-01,12.7425,12.90,12.1325,12.3225,310400,12.3225
2013-07-01,12.3325,12.90,12.0925,12.73,379200,12.73
2013-06-03,12.545,12.55,11.8775,12.36,657500,12.36
2013-05-02,12.0275,13.0325,12.00,12.73,481900,12.73
2013-04-02,12.315,12.315,11.5725,12.11,509300,12.11
2013-03-01,11.5175,12.315,11.51,12.17,525000,12.17
2013-02-01,11.00,11.5625,10.90,11.5625,346200,11.5625
2013-01-02,10.60,11.25,10.60,11.0225,526000,11.0225
2012-12-03,10.835,11.0025,10.61,10.6325,486900,10.6325
2012-11-01,10.85,11.145,10.565,10.8725,330400,10.8725
2012-10-01,11.1575,11.255,10.81,10.835,479700,10.835
2012-09-03,11.1275,11.3075,11.0675,11.1575,807000,11.1575
2012-08-01,11.175,11.5125,11.095,11.1593,408300,11.1593
2012-07-02,10.68,11.325,10.68,11.2661,508200,11.2661
2012-06-01,10.515,10.70,10.13,10.5775,492700,10.5775
2012-05-02,10.59,10.70,10.155,10.49,646200,10.49
2012-04-02,10.555,10.70,10.2625,10.535,520300,10.535
2012-03-01,10.19,10.71,10.1825,10.525,563700,10.525
2012-02-01,9.99,10.3525,9.99,10.19,774600,10.19
2012-01-02,9.69,10.22,9.6325,9.9825,768500,9.9825
2011-12-01,9.20,9.755,9.17,9.70,444100,9.70
2011-11-01,8.96,9.2925,8.625,9.13,752500,9.13
2011-10-03,8.3925,9.08,8.1175,9.0675,630400,9.0675
